dateMesure,codeStation,typeStation,precipitation,nbrPolluants,temperature
2024-12-12,4163119785,P,29.5,0,-26.9
2024-04-29,4163119785,P,28.1,10,-9.1;42.5;73.3;-39.1
2024-03-22,1958682846,p,13.9,3,-25.7;13.2;10.3
2024-06-25,4163119785,p,40.4,7,96.2
2024-07-12,3746317213,p,41.5,9,40.8;58.6;-33.6
2024-04-26,2181241943,P,42.8,1,-1.1;49.0;11.1;11.8
2024-04-17,2181241943,P,30.5,2,-17.1;13.1
2024-11-23,4163119785,S,34.2,0,75.1;72.7
2024-07-24,2181241943,P,10.5,9,-10.2;29.9;83.9
2024-11-25,1958682846,S,13.2,3,64.6;20.0;41.7
2024-07-04,9697354961,S,25.5,1,80.6
2024-03-19,9697354961,s,29.8,6,43.4;25.5;-4.8;37.5
2024-01-06,3746317213,p,38.4,5,1.1
2024-03-21,1958682846,P,47.7,4,31.1;-25.1
2024-11-16,2181241943,S,7.6,2,43.9
2024-09-07,3746317213,P,46.5,4,-31.9;82.9
2024-02-10,3746317213,s,40.8,8,-22.0;26.5
2024-10-08,9697354961,p,26.4,9,95.0;90.0;65.7;56.6
2024-12-31,2181241943,s,49.8,10,21.3;32.5;-23.1
2024-04-25,3746317213,p,1.1,8,42.4;-39.0
2024-06-15,?,P,25.3,3,12.5;18.2
?,3746317213,S,18.7,5,22.1;15.8;19.3
2024-08-20,3746317213,?,31.2,2,28.4;26.7
2024-09-10,3746317213,p,?,7,16.9;21.2;18.5
2024-11-05,3746317213,S,42.8,?,8.3;12.1
2024-12-01,3746317213,P,15.6,4,?
